EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
1.9023	1.0267	7.521	5.3563	7.7824	40.1735	115.0435	928.595	3.4691	11.0319	5.6256	6.6713	7.1007	1.511	113.3415	1.1852	33.01	32.0565	1.1819	0.7189	1.3912	0.4954
1.7987	0.9754	7.5019	5.2363	7.7545	39.3661	115.8661	914.9435	3.3735	10.8214	5.4023	6.4439	6.7574	1.465	112.8583	1.1741	32.5473	31.5248	1.1116	0.7026	1.3153	0.4890
1.7669	0.9672	7.421	5.0766	7.7774	39.3267	111.0729	918.8095	3.3588	10.8811	5.4156	6.3242	6.7049	1.4466	110.4181	1.1233	32.3275	31.3476	1.1159	0.6811	1.3104	0.4831
1.7852	1.0021	7.3682	5.1235	7.7983	39.375	112.449	931.095	3.3324	10.8463	5.5	6.4764	6.8376	1.4487	108.891	1.1402	32.4115	30.158	1.1469	0.6869	1.3004	0.4960
1.771	1.0099	7.2405	5.0575	7.8044	39.2676	107.8181	942.0571	3.2653	10.9057	5.3993	6.3978	6.9962	1.4299	108.1557	1.1006	32.3586	30.3048	1.1334	0.6790	1.2920	0.5076
1.729	0.9986	7.1644	5.0507	7.7963	39.6735	107.03	944.005	3.2216	10.7679	5.3851	6.345	7.6578	1.4106	107.827	1.089	31.6125	31.174	1.0949	0.6776	1.2549	0.5090
1.709	1.0029	7.0722	4.8043	7.7813	40.1452	100.7562	981.7348	3.1841	10.7328	5.1495	6.0613	7.9921	1.3843	107.6838	1.0126	30.5771	31.4043	1.0845	0.6443	1.2494	0.4996
1.6863	1.0137	6.9997	4.7354	7.791	39.9668	102.6777	986.8636	3.1604	10.5146	5.0541	5.947	7.7585	1.3643	107.7791	1.0138	30.3555	31.5582	1.0742	0.6348	1.2663	0.5046
1.6585	0.9993	6.9725	4.7963	7.7988	42.0019	104.3595	1034.1333	3.2127	10.4381	5.0571	5.9887	7.6076	1.3659	107.7705	1.0448	30.589	32.0262	1.0535	0.6429	1.2858	0.5089
1.6179	1.0166	6.8993	4.7926	7.8073	42.7633	106.9152	1031.4857	3.2568	10.3269	5.1351	6.0249	7.9367	1.3679	107.7633	1.0371	30.3705	33.1752	1.0514	0.6426	1.3130	0.5085
1.59	1.013	6.8355	4.7335	7.8001	42.7027	106.8518	1015.0545	3.2476	10.2094	5.1058	6.0015	7.6114	1.3591	107.6086	1.0283	30.4141	33.4705	1.0395	0.6346	1.3252	0.5028
1.6127	1.0535	6.8462	4.9894	7.8076	42.9057	109.3624	1046.1143	3.33	10.1154	5.3331	6.2845	7.6651	1.4052	107.7181	1.0841	31.2205	33.8195	1.1344	0.6687	1.4102	0.5301
1.8031	1.0582	6.8307	5.202	7.7854	45.53	106.5748	1134.8667	3.4405	10.6633	5.6958	6.6816	8.0753	1.4297	107.8233	1.1102	31.9924	34.2381	1.2243	0.6973	1.4839	0.5564
2.181	1.1847	6.8358	5.6253	7.7588	48.6155	99.9659	1329.1877	3.5222	12.6593	6.4973	7.4435	9.78	1.4784	108.1661	1.1429	32.7025	34.4209	1.4556	0.7538	1.6455	0.5930
2.2704	1.2171	6.8281	5.8448	7.7507	48.8517	96.9656	1398.7044	3.5843	13.1186	6.929	7.9612	10.1112	1.5076	109.9594	1.191	33.1028	35.035	1.5172	0.7847	1.7655	0.6524
2.3954	1.2337	6.8539	5.5239	7.7504	48.5132	91.275	1361.5727	3.5483	13.4167	7.0159	8.0124	9.9227	1.4769	111.4464	1.1404	33.1555	35.0086	1.4883	0.7401	1.7867	0.6732
2.3079	1.2248	6.836	5.6284	7.7563	48.6995	90.1205	1354.3975	3.5705	13.8839	6.9566	8.1044	9.9076	1.4913	113.7685	1.1267	33.3695	34.871	1.4806	0.7551	1.8149	0.6915
